ARRAY_ID	CHEMICAL	DOSE	VEHICLE	ROUTE	DURATION	ORGAN_OR_CELL_TYPE	ANIMAL_ID	SEX	SPECIES	STRAIN	STUDY_TYPE	RNA_ID	TOXICOLOGY_EXPERIMENT_DATE	RNA_EXTRACTION_DATE	cRNA_PREP_DATE	HYB_DATE
97876.CEL			CORN OIL 100 %	ORAL GAVAGE	5 d	KIDNEY	S011106-023	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50686	11/06/2001	03/30/2006	04/19/2006	05/02/2006
97988.CEL	DOXORUBICIN	3 mg/kg	SALINE 100 %	INTRAVENOUS	5 d	KIDNEY	S011106-287	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50872	11/06/2001	04/03/2006	04/24/2006	05/04/2006
96852.CEL	VALSARTAN	1000 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	HEART	S020122-185	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50061	01/22/2002	03/10/2006	03/20/2006	04/03/2006
97004.CEL	ISOEUGENOL	1560 mg/kg	CMC .5 %	ORAL GAVAGE	1 d	KIDNEY	S020909-161	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50602	09/09/2002	03/29/2006	03/31/2006	04/06/2006
93411.CEL	ANTIMYCIN A	.03 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20040811-16546		Primary Rat Hepatocytes	RHCYT	In Vitro	16546	08/11/2004	11/28/2005	12/01/2005	12/08/2005
93761.CEL	NEVIRAPINE	250 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20050215-16860		Primary Rat Hepatocytes	RHCYT	In Vitro	16860	02/15/2005	12/05/2005	12/08/2005	12/18/2005
93780.CEL	PAROXETINE	30 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20040525-16880		Primary Rat Hepatocytes	RHCYT	In Vitro	16880	05/25/2004	12/05/2005	12/08/2005	12/19/2005
93858.CEL	GRISEOFULVIN	75 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20050309-16956		Primary Rat Hepatocytes	RHCYT	In Vitro	16956	03/09/2005	12/09/2005	12/13/2005	12/19/2005
93181.CEL	VENLAFAXINE	1481 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20050323-16310		Primary Rat Hepatocytes	RHCYT	In Vitro	16310	03/23/2005	11/22/2005	11/29/2005	12/01/2005
93935.CEL	1-NAPHTHYL ISOTHIOCYANATE	166.67 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20040519-16810		Primary Rat Hepatocytes	RHCYT	In Vitro	16810	05/19/2004	12/01/2005	12/08/2005	12/20/2005
93674.CEL	CHLOROQUINE	21.95 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20040505-16725		Primary Rat Hepatocytes	RHCYT	In Vitro	16725	05/05/2004	11/30/2005	12/06/2005	12/14/2005
93703.CEL	GABAPENTIN	500 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20040519-16801		Primary Rat Hepatocytes	RHCYT	In Vitro	16801	05/19/2004	12/01/2005	12/08/2005	12/15/2005
93713.CEL	CARBON TETRACHLORIDE	775 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20040519-16811		Primary Rat Hepatocytes	RHCYT	In Vitro	16811	05/19/2004	12/01/2005	12/08/2005	12/15/2005
93537.CEL	MARIMASTAT	1000 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20050301-16773		Primary Rat Hepatocytes	RHCYT	In Vitro	16773	03/01/2005	12/01/2005	12/07/2005	12/15/2005
96921.CEL	LEVOSULPIRIDE	1200 mg/kg	CMC .5 %	ORAL GAVAGE	1 d	HEART	R020813-090	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50106	08/13/2002	03/14/2006	03/22/2006	04/04/2006
97094.CEL	CLOFIBRIC ACID	448 mg/kg	CORN OIL 100 %	ORAL GAVAGE	3 d	HEART	S020429-091	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50225	04/29/2002	03/15/2006	04/03/2006	04/10/2006
97097.CEL			CMC .5 %	ORAL GAVAGE	5 d	HEART	S020415-215	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50228	04/15/2002	03/15/2006	04/03/2006	04/10/2006
97096.CEL			WATER 100 %	ORAL GAVAGE	5 d	HEART	S021021-023	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50227	10/21/2002	03/15/2006	04/03/2006	04/10/2006
97971.CEL			CORN OIL 100 %	SUBCUTANEOUS	3 d	KIDNEY	S021014-017	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50855	10/14/2002	04/03/2006	04/24/2006	05/03/2006
98062.CEL			SALINE 100 %	INTRAVENOUS	5 d	KIDNEY	S020923-023	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50824	09/23/2002	04/03/2006	04/19/2006	05/09/2006
